discount,discounted_price,name,original_price,product_id,product_info,product_url,total_reviews
75,9.99,Color Block Striped Faux Sailor Collar Print Kangaroo Pocket Hoodie,40.49,8154149,"Clothes Type:Hoodie;Occasion:Daily,Daily Use,Going Out,Sports,Vacation;Style:Fashion;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester;Thickness:Regular;Patterns:Color Block,Stripe;Season:Fall,Spring;Weight:0.5400kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/color-block-striped-faux-sailor-product8154149.html,0
0,0.0,Kangaroo Pocket Blood Soldiers Print Pullover Hoodie,26.99,8338233,"Clothes Type:Hoodie;Occasion:Daily;Style:Casual;Fit Type:Regular;Sleeve Length:Full;Material:Polyester,Polyurethane;Thickness:Regular;Patterns:Others;Season:Fall,Spring;Weight:0.5700kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/kangaroo-pocket-blood-soldiers-print-product8338233.html,0
34,24.99,Feather Birds Front Pocket Drawstring Hoodie,37.79,8353012,"Clothes Type:Hoodie;Occasion:Daily;Style:Fashion;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Polyurethane;Thickness:Regular;Patterns:Animal,Feather;Season:Fall,Spring;Weight:0.5300kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/feather-birds-front-pocket-drawstring-product8353012.html,0
47,18.99,Fire Lion Print Kangaroo Pocket Hoodie,35.9,8363488,"Clothes Type:Hoodie;Occasion:Daily;Style:Casual;Fit Type:Regular;Sleeve Length:Full;Material:Polyester,Polyurethane;Fabric Stretch:Slight Stretch;Thickness:Regular;Patterns:3D Print,Animal;Season:Fall,Spring,Winter;Weight:0.4900kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/fire-lion-print-kangaroo-pocket-product8363488.html,1
47,22.99,Contrast Circle Print Kangaroo Pocket Hoodie,43.18,8354134,"Clothes Type:Hoodie;Occasion:Daily;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Polyurethane;Thickness:Regular;Patterns:Others;Season:Fall,Spring;Weight:0.4900kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/contrast-circle-print-kangaroo-pocket-product8354134.html,0
72,12.99,Colorful Striped Trim Zip Up Drawstring Hoodie,46.48,8169555,"Clothes Type:Hoodie;Occasion:Daily;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Cotton,Polyester;Thickness:Regular;Closure Type:Zipper;Patterns:Stripe;Season:Fall,Spring;Weight:0.6400kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/colorful-striped-trim-zip-up-product8169555.html,0
0,0.0,Letter Print Double Collar Kangaroo Pocket Hoodie,29.99,8333080,"Clothes Type:Hoodies;Style:Casual;Pattern Type:Letter;Material:Cotton;Shirt Length:Regular;Sleeve Length:Full;Season:Fall,Spring;Weight:0.6600kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/letter-print-double-collar-kangaroo-product8333080.html,0
38,22.99,Planet Galaxy Print Kangaroo Pocket Hoodie,36.98,8355689,"Clothes Type:Hoodie;Occasion:Daily;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Polyurethane;Thickness:Regular;Patterns:Galaxy;Season:Fall,Spring;Weight:0.4900kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/planet-galaxy-print-kangaroo-pocket-product8355689.html,0
0,0.0,Tribal Totem Pattern Print Casual Hoodie,29.99,8349201,"Clothes Type:Hoodie;Occasion:Daily;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester;Thickness:Regular;Patterns:Print;Season:Fall,Spring,Winter;Weight:0.6400kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/tribal-totem-pattern-print-casual-product8349201.html,0
0,0.0,Zipper Decorated Color Spliced Casual Hoodie,22.99,8201102,"Clothes Type:Hoodie;Occasion:Daily,Going Out;Style:Casual;Fit Type:Regular;Sleeve Length:Full;Material:Cotton,Polyester;Thickness:Regular;Patterns:Colorblock;Season:Fall,Spring,Winter;Weight:0.4550kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/zipper-decorated-color-spliced-casual-product8201102.html,2
0,0.0,Santa Claus Moon Galaxy Print Christmas Hoodie,26.99,8371873,"Clothes Type:Hoodie;Occasion:Christmas Day,Daily;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Polyurethane;Fabric Stretch:Slight Stretch;Thickness:Regular;Patterns:Elk,Moon,Santa Claus;Season:Fall,Spring;Weight:0.4700kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/santa-claus-moon-galaxy-print-product8371873.html,0
45,22.99,Paint Splatter Lion Print Front Pocket Drawstring Hoodie,41.83,8366255,"Clothes Type:Hoodie;Occasion:Daily;Style:Fashion;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Polyurethane;Fabric Stretch:Slight Stretch;Thickness:Regular;Patterns:Animal,Paint Splatter;Season:Fall,Spring,Winter;Weight:0.5350kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/paint-splatter-lion-print-front-product8366255.html,0
0,0.0,Kangaroo Pocket Universe Planets Print Hoodie,26.99,8345396,"Clothes Type:Hoodies;Style:Fashion;Pattern Type:Others;Material:Polyester,Polyurethane;Shirt Length:Regular;Sleeve Length:Full;Season:Fall,Spring;Weight:0.5750kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/kangaroo-pocket-universe-planets-print-product8345396.html,0
0,0.0,Christmas Tree Snowman Pattern Pocket Hoodie,22.99,8207952,"Clothes Type:Hoodie;Occasion:Christmas Day,Going Out;Style:Casual;Fit Type:Regular;Sleeve Length:Full;Material:Polyester;Thickness:Regular;Patterns:Christmas Tree,Snowman;Season:Fall,Spring,Winter;Weight:0.3400kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/christmas-tree-snowman-pattern-pocket-product8207952.html,0
76,9.99,Faux Sailor Collar Striped Print Casual Kangaroo Pocket Hoodie,42.1,8154157,"Clothes Type:Hoodie;Occasion:Daily,Daily Use,Going Out;Style:Fashion;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester;Thickness:Regular;Patterns:Stripe;Season:Fall,Spring;Weight:0.5400kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/faux-sailor-collar-striped-print-product8154157.html,0
